;Name;Status;2016;2017;2018;2019;2020
An Giang;An Giang;Province;1972983.76545;1951200.21848;1929657.18182;1908352;1887046.81818
An Giang;An Phú;District;156692.06229;153952.07482;151260;148615;145970
An Giang;Châu Đốc;District-level City;104476.45867;103564.7055;102660.90909;101765;100869.09091
An Giang;Châu Phú;District;217333.94781;213721.58934;210169.27273;206676;203182.72727
An Giang;Châu Thành;District;156429.29554;154723.66728;153036.63636;151368;149699.36364
An Giang;Chợ Mới;District;318243.56182;314785.26327;311364.54545;307981;304597.45455
An Giang;Long Xuyên;District-level City;274084.88021;273510.38347;272937.09091;272365;271792.90909
An Giang;Phú Tân;District;196052.70528;193656.29756;191289.18182;188951;186612.81818
An Giang;Tân Châu;District-level Town;147963.02759;145677.22129;143426.72727;141211;138995.27273
An Giang;Thoại Sơn;District;168141.80898;166555.28318;164983.72727;163427;161870.27273
An Giang;Tịnh Biên;District;111928.66888;110795.00238;109672.81818;108562;107451.18182
An Giang;Tri Tôn;District;121758.9242;120298.84414;118856.27273;117431;116005.72727
Bắc Giang;Bắc Giang;Province;1736671.69904;1758814.28135;1781239.18182;1803950;1826660.81818
Bắc Giang;Bắc Giang;District-level City;166239.07344;168860.8176;171523.90909;174229;176934.09091
Bắc Giang;Hiệp Hòa;District;238180.82442;241234.56334;244327.45455;247460;250592.54545
Bắc Giang;Lạng Giang;District;208662.47107;211404.13298;214181.81818;216996;219810.18182
Bắc Giang;Lục Nam;District;218686.97835;221161.21957;223663.45455;226194;228724.54545
Bắc Giang;Lục Ngạn;District;220559.59287;222535.31107;224528.72727;226540;228551.27273
Bắc Giang;Sơn Động;District;74110.42782;74769.73576;75434.90909;76106;76777.09091
Bắc Giang;Tân Yên;District;172208.93813;173878.06195;175563.36364;177265;178966.63636
Bắc Giang;Việt Yên;District;193617.04157;197627.70871;201721.45455;205900;210078.54545
Bắc Giang;Yên Dũng;District;145622.10689;147758.24945;149925.72727;152125;154324.27273
Bắc Giang;Yên Thế;District;98852.48092;99607.53863;100368.36364;101135;101901.63636
Bắc Kạn;Bắc Kạn;Province;308460.69094;310264.88725;312079.63636;313905;315730.36364
Bắc Kạn;Ba Bể;District;47788.36239;47966.57617;48145.45455;48325;48504.54545
Bắc Kạn;Bạch Thông;District;30831.11493;30907.55362;30984.18182;31061;31137.81818
Bắc Kạn;Bắc Kạn;District-level City;42927.25148;43618.96187;44321.81818;45036;45750.18182
Bắc Kạn;Chợ Đồn;District;49164.47964;49293.97836;49423.81818;49554;49684.18182
Bắc Kạn;Chợ Mới;District;38358.10577;38557.03704;38757;38958;39159
