,1-28-2016,2-28-2016,3-28-2016,4-28-2016,5-28-2016,6-28-2016,7-28-2016,8-28-2016,9-28-2016,10-28-2016,11-28-2016,8-28-2020
0,6.0,2.0,6.0,0.0,16.0,101.0,394.0,492.0,699.0,678.0,68.0,68.0
1,4.0,5.0,4.0,1.0,1.0,14.0,65.0,100.0,110.0,122.0,8.0,14.0
2,11.0,3.0,3.0,0.0,23.0,57.0,235.0,215.0,271.0,291.0,13.0,235.0
3,1.0,2.0,1.0,6.0,1.0,7.0,22.0,20.0,31.0,19.0,2.0,6.0
4,0.0,1.0,0.0,0.0,0.0,2.0,35.0,64.0,60.0,95.0,6.0,0.0
5,19.0,17.0,34.0,24.0,31.0,58.0,190.0,196.0,283.0,313.0,19.0,19.0
6,0.0,1.0,1.0,12.0,11.0,25.0,157.0,177.0,205.0,226.0,10.0,1.0
7,2.0,2.0,7.0,5.0,11.0,18.0,140.0,141.0,182.0,183.0,16.0,5.0
8,3.0,5.0,1.0,4.0,1.0,15.0,206.0,218.0,300.0,255.0,16.0,255.0
9,2.0,0.0,1.0,6.0,6.0,5.0,66.0,62.0,106.0,95.0,11.0,1.0
10,0.0,4.0,0.0,0.0,2.0,19.0,176.0,174.0,244.0,208.0,17.0,244.0
11,6.0,11.0,0.0,0.0,0.0,15.0,181.0,244.0,291.0,295.0,36.0,36.0
12,0.0,0.0,2.0,2.0,5.0,45.0,119.0,181.0,218.0,253.0,27.0,45.0
13,1.0,1.0,1.0,3.0,2.0,2.0,55.0,56.0,81.0,54.0,1.0,1.0
14,9.0,6.0,7.0,16.0,12.0,25.0,182.0,134.0,186.0,195.0,17.0,16.0
15,24.0,21.0,36.0,35.0,40.0,54.0,67.0,69.0,73.0,79.0,12.0,69.0
16,37.0,36.0,86.0,118.0,83.0,212.0,356.0,518.0,504.0,480.0,57.0,83.0
17,0.0,0.0,1.0,1.0,2.0,8.0,273.0,346.0,449.0,496.0,36.0,8.0
18,0.0,0.0,0.0,0.0,0.0,8.0,150.0,170.0,242.0,294.0,24.0,0.0
19,1.0,0.0,0.0,0.0,0.0,1.0,11.0,12.0,24.0,15.0,1.0,11.0
20,17.0,20.0,26.0,26.0,26.0,39.0,89.0,107.0,96.0,103.0,24.0,89.0
21,2.0,1.0,1.0,19.0,52.0,78.0,196.0,228.0,259.0,386.0,20.0,52.0
22,1.0,2.0,1.0,6.0,13.0,16.0,157.0,198.0,263.0,258.0,24.0,2.0
23,1.0,0.0,1.0,0.0,0.0,6.0,64.0,73.0,65.0,93.0,6.0,6.0
24,7.0,5.0,9.0,3.0,1.0,1.0,8.0,47.0,1295.0,1350.0,171.0,7.0
25,0.0,0.0,2.0,0.0,6.0,33.0,46.0,19.0,15.0,21.0,1.0,1.0
26,0.0,5.0,6.0,4.0,8.0,32.0,462.0,563.0,822.0,954.0,53.0,6.0
27,1.0,1.0,0.0,2.0,0.0,10.0,60.0,95.0,140.0,159.0,7.0,140.0
28,0.0,0.0,0.0,4.0,6.0,32.0,114.0,98.0,89.0,152.0,10.0,0.0
29,4.0,2.0,3.0,2.0,1.0,6.0,43.0,59.0,47.0,54.0,5.0,4.0
30,1.0,3.0,3.0,4.0,20.0,43.0,115.0,154.0,187.0,188.0,20.0,187.0
31,1.0,0.0,1.0,0.0,1.0,15.0,108.0,216.0,153.0,253.0,15.0,0.0
32,7.0,4.0,0.0,4.0,5.0,46.0,276.0,312.0,430.0,425.0,34.0,276.0
33,1.0,0.0,1.0,3.0,1.0,4.0,36.0,28.0,28.0,36.0,5.0,28.0
34,5.0,2.0,0.0,2.0,1.0,7.0,52.0,40.0,50.0,42.0,3.0,5.0
35,1.0,1.0,10.0,3.0,4.0,17.0,19.0,12.0,17.0,15.0,0.0,3.0
36,1.0,1.0,1.0,0.0,0.0,3.0,35.0,40.0,46.0,63.0,2.0,63.0
