,8-28-2017,9-28-2017,10-28-2017,1-28-2021
0,411.0,1276.0,1125.0,1125.0
1,68.0,198.0,163.0,198.0
2,113.0,446.0,377.0,446.0
3,12.0,25.0,34.0,12.0
4,16.0,104.0,50.0,104.0
5,130.0,395.0,384.0,130.0
6,98.0,315.0,279.0,98.0
7,70.0,189.0,129.0,70.0
8,145.0,518.0,503.0,503.0
9,37.0,112.0,111.0,37.0
10,111.0,312.0,309.0,309.0
11,141.0,440.0,386.0,386.0
12,112.0,375.0,293.0,375.0
13,15.0,60.0,59.0,15.0
14,96.0,315.0,274.0,96.0
15,28.0,98.0,69.0,69.0
16,227.0,737.0,680.0,737.0
17,248.0,915.0,675.0,915.0
18,154.0,464.0,343.0,154.0
19,11.0,24.0,30.0,24.0
20,32.0,99.0,66.0,99.0
21,184.0,589.0,404.0,589.0
22,159.0,409.0,397.0,159.0
23,68.0,244.0,186.0,244.0
24,1077.0,3479.0,3138.0,1077.0
25,19.0,48.0,44.0,44.0
26,510.0,1559.0,1478.0,510.0
27,76.0,218.0,187.0,187.0
28,77.0,184.0,205.0,77.0
29,33.0,68.0,79.0,33.0
30,80.0,206.0,201.0,201.0
31,78.0,232.0,243.0,78.0
32,197.0,657.0,505.0,657.0
33,8.0,35.0,35.0,35.0
34,50.0,138.0,155.0,50.0
35,3.0,15.0,22.0,15.0
36,26.0,72.0,38.0,38.0
37,13.0,43.0,36.0,43.0
38,176.0,629.0,532.0,532.0
39,177.0,567.0,541.0,567.0
40,175.0,563.0,513.0,563.0
41,61.0,187.0,198.0,187.0
42,109.0,285.0,196.0,285.0
43,47.0,195.0,129.0,47.0
44,81.0,210.0,206.0,210.0
45,9.0,34.0,26.0,9.0
46,168.0,332.0,327.0,332.0
47,38.0,92.0,92.0,38.0
48,89.0,261.0,252.0,261.0
49,47.0,133.0,100.0,100.0
50,152.0,526.0,481.0,481.0
51,33.0,107.0,55.0,107.0
52,136.0,590.0,559.0,136.0
53,80.0,243.0,194.0,194.0
54,76.0,283.0,224.0,224.0
55,52.0,107.0,88.0,107.0
56,228.0,538.0,461.0,538.0
57,132.0,408.0,423.0,408.0
58,33.0,197.0,107.0,197.0
59,29.0,83.0,109.0,83.0
60,130.0,379.0,380.0,379.0
61,73.0,89.0,85.0,89.0
62,20.0,56.0,38.0,56.0

