,12-28-2017,1-28-2018,2-28-2018,3-28-2018,3-28-2021
0,71.0,1420.0,1058.0,355.0,355.0
1,10.0,227.0,152.0,59.0,152.0
2,14.0,378.0,290.0,91.0,290.0
3,2.0,42.0,22.0,16.0,42.0
4,4.0,197.0,39.0,38.0,197.0
5,10.0,463.0,317.0,98.0,10.0
6,17.0,325.0,216.0,88.0,17.0
7,7.0,153.0,121.0,50.0,153.0
8,18.0,784.0,492.0,191.0,191.0
9,2.0,157.0,120.0,44.0,2.0
10,18.0,333.0,304.0,71.0,71.0
11,17.0,449.0,393.0,107.0,107.0
12,22.0,354.0,294.0,77.0,294.0
13,15.0,59.0,34.0,12.0,15.0
14,19.0,279.0,191.0,56.0,279.0
15,4.0,99.0,54.0,24.0,54.0
16,38.0,828.0,652.0,183.0,828.0
17,8.0,997.0,714.0,227.0,997.0
18,16.0,461.0,336.0,129.0,461.0
19,6.0,35.0,22.0,2.0,22.0
20,5.0,98.0,62.0,16.0,62.0
21,21.0,510.0,429.0,95.0,510.0
22,29.0,407.0,295.0,86.0,29.0
23,13.0,243.0,176.0,71.0,176.0
24,184.0,4437.0,3113.0,919.0,184.0
25,2.0,58.0,24.0,10.0,10.0
26,80.0,1666.0,1361.0,389.0,80.0
27,18.0,209.0,129.0,58.0,58.0
28,12.0,209.0,148.0,40.0,12.0
29,1.0,87.0,57.0,22.0,1.0
30,42.0,264.0,171.0,77.0,171.0
31,6.0,280.0,206.0,74.0,6.0
32,10.0,610.0,502.0,126.0,502.0
33,1.0,27.0,27.0,7.0,27.0
34,12.0,179.0,153.0,34.0,12.0
35,0.0,19.0,10.0,3.0,19.0
36,0.0,82.0,50.0,22.0,22.0
37,1.0,49.0,28.0,18.0,49.0
38,31.0,604.0,535.0,131.0,131.0
39,20.0,590.0,500.0,184.0,500.0
40,26.0,504.0,344.0,127.0,344.0
41,17.0,203.0,133.0,52.0,203.0
42,16.0,266.0,204.0,65.0,266.0
43,9.0,141.0,121.0,43.0,141.0
44,7.0,205.0,170.0,62.0,170.0
45,13.0,80.0,40.0,11.0,80.0
46,21.0,358.0,277.0,75.0,358.0
47,4.0,169.0,56.0,5.0,4.0
48,19.0,268.0,185.0,74.0,185.0
49,3.0,126.0,95.0,32.0,32.0
50,35.0,621.0,513.0,147.0,147.0
51,4.0,60.0,39.0,18.0,39.0
52,14.0,684.0,486.0,129.0,684.0
53,34.0,236.0,174.0,70.0,174.0
54,15.0,186.0,156.0,56.0,56.0
55,6.0,94.0,82.0,30.0,82.0
56,20.0,431.0,340.0,82.0,340.0
57,7.0,527.0,369.0,122.0,369.0
58,3.0,209.0,151.0,51.0,209.0
59,11.0,161.0,60.0,32.0,60.0
60,54.0,458.0,418.0,127.0,458.0
61,2.0,76.0,39.0,10.0,39.0
62,2.0,103.0,29.0,19.0,103.0

