,4-28-2020,5-28-2020,6-28-2020,7-28-2020,4-28-2022,5-28-2022,6-28-2022,7-28-2022,8-28-2022,9-28-2022,10-28-2022,11-28-2022,12-28-2022
63,70.0,122.0,83.0,0.0,83.0,0.0,0.0,83.0,83.0,0.0,83.0,83.0,0.0
64,146.0,160.0,54.0,0.0,54.0,146.0,146.0,160.0,0.0,0.0,146.0,146.0,146.0
65,42.0,52.0,9.0,0.0,42.0,42.0,0.0,42.0,42.0,0.0,42.0,0.0,42.0
66,113.0,142.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0
67,68.0,103.0,65.0,2.0,103.0,65.0,65.0,103.0,65.0,65.0,103.0,2.0,65.0
68,151.0,240.0,166.0,0.0,151.0,151.0,151.0,166.0,151.0,151.0,151.0,166.0,240.0
69,70.0,118.0,35.0,0.0,70.0,0.0,118.0,35.0,35.0,35.0,35.0,118.0,35.0
70,50.0,77.0,68.0,0.0,77.0,50.0,68.0,68.0,77.0,50.0,68.0,50.0,50.0
71,76.0,107.0,13.0,0.0,107.0,107.0,0.0,0.0,107.0,107.0,0.0,0.0,107.0
72,102.0,149.0,10.0,0.0,10.0,10.0,149.0,10.0,10.0,10.0,10.0,149.0,149.0
73,58.0,90.0,92.0,0.0,90.0,58.0,92.0,58.0,92.0,58.0,58.0,58.0,0.0
74,25.0,58.0,50.0,0.0,25.0,50.0,0.0,0.0,25.0,25.0,58.0,58.0,50.0
75,7.0,13.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,40.0,40.0,7.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,7.0,40.0
77,26.0,26.0,20.0,1.0,1.0,1.0,20.0,26.0,1.0,1.0,1.0,1.0,1.0
78,24.0,34.0,9.0,1.0,24.0,24.0,9.0,34.0,24.0,1.0,24.0,9.0,9.0
79,26.0,35.0,8.0,0.0,8.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
80,13.0,27.0,3.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,0.0
81,12.0,38.0,21.0,0.0,0.0,12.0,38.0,12.0,12.0,12.0,12.0,21.0,12.0
82,10.0,24.0,14.0,0.0,24.0,10.0,0.0,10.0,14.0,10.0,0.0,0.0,0.0
83,24.0,36.0,25.0,0.0,36.0,36.0,25.0,0.0,36.0,36.0,36.0,25.0,36.0
84,30.0,40.0,25.0,0.0,40.0,40.0,40.0,40.0,25.0,25.0,25.0,40.0,40.0
85,93.0,131.0,24.0,0.0,24.0,24.0,0.0,0.0,24.0,0.0,24.0,24.0,24.0
86,8.0,22.0,5.0,0.0,22.0,5.0,0.0,22.0,5.0,22.0,22.0,5.0,5.0
87,6.0,19.0,14.0,0.0,19.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
88,12.0,19.0,16.0,0.0,16.0,12.0,16.0,16.0,0.0,0.0,16.0,16.0,16.0
89,26.0,31.0,16.0,0.0,31.0,16.0,16.0,0.0,16.0,16.0,31.0,16.0,16.0
90,20.0,27.0,11.0,0.0,20.0,11.0,20.0,20.0,11.0,11.0,20.0,11.0,11.0
91,1.0,5.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,0.0,0.0
92,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93,2.0,4.0,5.0,0.0,4.0,5.0,2.0,0.0,2.0,4.0,2.0,2.0,2.0
94,1.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,5.0
95,3.0,3.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
96,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,3.0,5.0,1.0,0.0,5.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0
99,24.0,21.0,24.0,0.0,24.0,21.0,21.0,21.0,21.0,21.0,21.0,24.0,21.0
