P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10,2022-11,2022-12,2023-1,2023-2,2023-3,2023-4,2023-5,2023-6,2023-7,2023-8,2023-9,2023-10,2023-11,2023-12,2024-1,2024-2,2024-3,2024-4,2024-5,2024-6,2024-7,2024-8,2024-9,2024-10,2024-11,2024-12,2025-1,2025-2,2025-3,2025-4,2025-5,2025-6,2025-7,2025-8,2025-9,2025-10,2025-11,2025-12]
7915_0,78,0,81,20,67,33,98,98,40,75,31,61,84,11,71,55,61,24,64,81,75,99,43,21,7,23,38,83,60,57,38,73,33,3,79,36,6,49,74,41,9,21,99,51,3,89,22,39,18,21,70,84,18,68,0,13,27,62,62,81,81,0,91,59,5,33,62,13,32,20,83,70,13,36,15,86,78,85,41,10,13,76,75,78,73,85,100,15,56,9,29,4,56,59,32,100,61,20,23,2,58,88,99,1,83,46,19,81,100,72,50,98,64,31,74,21,37,31,5,33
7915_1,99,66,62,17,15,2,2,52,64,22,46,76,17,14,44,98,83,76,65,2,43,30,24,79,61,78,74,88,100,33,100,53,1,86,58,97,17,53,87,36,46,88,28,2,10,91,1,58,95,80,11,36,28,19,61,26,2,22,72,41,68,85,78,86,33,29,60,37,43,85,47,22,71,46,30,29,82,79,64,95,1,68,91,3,51,28,8,82,21,63,100,88,28,19,13,1,65,85,18,8,95,70,57,73,16,14,42,65,31,44,49,39,32,72,49,9,6,6,39,11
7915_2,99,95,72,20,33,42,92,74,83,43,94,60,69,66,68,54,60,12,96,87,17,16,29,65,64,52,100,52,28,27,42,88,69,26,52,84,79,81,20,9,31,50,22,87,29,5,62,42,33,40,36,75,87,41,17,8,63,90,33,4,22,6,77,17,86,51,91,3,20,26,34,64,1,22,0,31,79,28,5,62,1,14,57,98,30,80,50,7,47,52,75,65,26,81,25,11,27,83,94,35,72,1,95,84,56,37,16,34,78,8,35,37,40,22,51,3,84,77,31,57
7915_3,72,42,63,51,6,100,27,35,68,82,43,50,68,81,33,99,58,31,99,16,5,71,38,96,49,88,25,79,43,31,80,66,72,47,25,15,35,14,85,34,98,11,54,98,85,48,3,24,18,17,36,82,16,22,32,7,96,67,68,95,39,74,93,17,47,87,49,56,55,7,46,6,37,88,94,53,94,97,2,77,5,22,78,80,76,70,85,86,35,57,28,38,27,9,63,73,78,72,3,80,48,74,91,6,55,12,70,24,75,71,5,89,92,70,26,19,38,17,81,94
7915_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
7916_0,9,17,54,67,34,92,7,88,99,97,21,31,81,37,94,40,30,17,36,65,58,41,51,6,0,85,27,43,77,63,96,97,83,83,73,16,52,49,4,6,80,66,6,90,70,74,40,85,99,27,14,51,50,33,16,14,89,76,76,81,64,62,92,65,71,81,15,14,71,7,47,46,0,95,97,33,82,85,0,91,97,25,43,18,69,71,80,54,32,54,87,20,96,72,15,81,29,68,99,75,6,48,21,100,18,25,41,87,40,65,12,12,45,19,96,16,40,36,45,87
7916_1,45,30,47,33,49,32,16,100,21,43,75,6,15,37,97,87,53,43,21,85,42,39,13,15,27,62,33,60,65,67,29,36,42,46,2,6,9,27,46,70,60,99,40,58,10,72,93,3,24,5,90,4,56,61,23,10,14,84,54,37,42,25,5,29,35,22,97,89,80,77,82,64,58,46,2,99,96,86,18,89,34,38,92,83,62,91,89,100,92,78,67,39,91,47,33,70,80,90,72,81,93,4,68,37,53,32,66,61,61,33,86,65,9,70,93,79,90,50,12,65
7916_2,0,11,92,89,12,48,93,69,1,59,92,55,12,59,92,7,81,10,80,82,46,21,83,51,53,57,49,29,1,15,79,11,35,19,92,85,0,41,41,63,41,56,63,36,5,93,45,92,64,44,0,23,59,63,67,79,19,17,75,25,100,42,8,79,23,90,50,47,100,10,96,60,77,78,97,11,11,87,30,91,93,92,80,96,8,83,22,15,2,16,12,42,91,97,18,33,55,98,28,96,85,96,60,3,5,16,17,1,68,83,96,44,87,41,74,22,17,68,8,68
7916_3,20,65,12,5,8,99,4,72,61,91,51,98,92,42,21,98,17,89,81,29,28,45,99,40,65,86,57,57,56,14,86,31,16,82,77,87,33,66,86,38,61,58,80,98,93,85,81,20,41,48,76,62,95,7,24,63,85,73,56,81,40,44,53,15,75,10,83,72,76,35,75,5,10,87,6,51,41,85,77,0,84,92,59,15,61,39,0,21,17,35,47,26,82,75,19,66,53,48,85,4,15,76,59,5,97,61,24,75,3,33,81,58,7,56,9,87,37,88,100,73
7916_4,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1,5,5,5,4,4,4,2,2,2,1,1,1
