,4-28-2020,5-28-2020,6-28-2020,7-28-2020
0,946.0,1360.0,702.0,2.0
1,161.0,233.0,101.0,2.0
2,241.0,387.0,171.0,0.0
3,15.0,26.0,14.0,0.0
4,119.0,167.0,159.0,0.0
5,316.0,441.0,262.0,0.0
6,183.0,303.0,186.0,0.0
7,176.0,297.0,86.0,0.0
8,580.0,757.0,463.0,0.0
9,100.0,138.0,47.0,1.0
10,359.0,487.0,230.0,0.0
11,275.0,440.0,220.0,2.0
12,254.0,341.0,160.0,0.0
13,32.0,62.0,7.0,0.0
14,161.0,259.0,103.0,0.0
15,39.0,71.0,17.0,0.0
16,597.0,840.0,336.0,1.0
17,507.0,832.0,341.0,0.0
18,319.0,442.0,276.0,0.0
19,28.0,27.0,18.0,0.0
20,49.0,75.0,37.0,0.0
21,290.0,336.0,96.0,0.0
22,173.0,270.0,56.0,0.0
23,148.0,217.0,115.0,1.0
24,2798.0,3621.0,2052.0,1.0
25,124.0,154.0,59.0,0.0
26,919.0,1436.0,600.0,1.0
27,132.0,175.0,73.0,0.0
28,92.0,153.0,29.0,0.0
29,59.0,100.0,27.0,0.0
30,104.0,202.0,28.0,0.0
31,205.0,437.0,190.0,0.0
32,328.0,573.0,224.0,0.0
33,18.0,31.0,4.0,0.0
34,164.0,305.0,182.0,0.0
35,42.0,45.0,7.0,0.0
36,50.0,127.0,58.0,1.0
37,42.0,66.0,8.0,0.0
38,358.0,535.0,183.0,0.0
39,353.0,499.0,261.0,0.0
40,286.0,413.0,200.0,0.0
41,93.0,113.0,60.0,0.0
42,206.0,260.0,125.0,0.0
43,119.0,164.0,36.0,0.0
44,134.0,175.0,83.0,0.0
45,24.0,58.0,3.0,0.0
46,219.0,328.0,191.0,0.0
47,59.0,136.0,62.0,0.0
48,111.0,184.0,101.0,0.0
49,21.0,35.0,13.0,0.0
50,432.0,682.0,219.0,1.0
51,31.0,64.0,31.0,1.0
52,495.0,660.0,359.0,1.0
53,155.0,252.0,73.0,0.0
54,83.0,180.0,37.0,0.0
55,25.0,83.0,41.0,0.0
56,198.0,252.0,118.0,0.0
57,347.0,462.0,214.0,0.0
58,93.0,206.0,111.0,0.0
59,58.0,86.0,52.0,0.0
60,260.0,423.0,213.0,0.0
61,51.0,46.0,34.0,0.0
62,38.0,50.0,22.0,0.0

