,6-28-2017,7-28-2017,8-28-2017
0,544.0,1261.0,1026.0
1,84.0,221.0,147.0
2,224.0,394.0,306.0
3,14.0,36.0,33.0
4,31.0,89.0,55.0
5,179.0,438.0,327.0
6,136.0,316.0,230.0
7,105.0,243.0,158.0
8,206.0,439.0,369.0
9,43.0,123.0,84.0
10,146.0,378.0,304.0
11,193.0,459.0,305.0
12,126.0,351.0,237.0
13,33.0,65.0,46.0
14,134.0,332.0,232.0
15,28.0,112.0,50.0
16,267.0,843.0,557.0
17,304.0,879.0,627.0
18,191.0,438.0,344.0
19,10.0,34.0,16.0
20,47.0,111.0,94.0
21,250.0,489.0,375.0
22,172.0,404.0,306.0
23,68.0,188.0,160.0
24,1353.0,3273.0,2566.0
25,40.0,79.0,42.0
26,626.0,1610.0,1262.0
27,101.0,234.0,169.0
28,77.0,199.0,172.0
29,41.0,76.0,75.0
30,92.0,264.0,168.0
31,99.0,283.0,171.0
32,287.0,642.0,493.0
33,5.0,50.0,24.0
34,92.0,151.0,139.0
35,14.0,26.0,32.0
36,43.0,76.0,50.0
37,18.0,54.0,37.0
38,254.0,606.0,484.0
39,247.0,528.0,472.0
40,249.0,661.0,454.0
41,114.0,247.0,161.0
42,142.0,287.0,194.0
43,62.0,171.0,97.0
44,93.0,218.0,173.0
45,13.0,29.0,29.0
46,137.0,513.0,480.0
47,45.0,126.0,91.0
48,128.0,280.0,210.0
49,53.0,153.0,138.0
50,191.0,525.0,435.0
51,26.0,42.0,51.0
52,178.0,568.0,445.0
53,84.0,224.0,184.0
54,102.0,272.0,196.0
55,55.0,84.0,79.0
56,211.0,485.0,560.0
57,218.0,476.0,342.0
58,56.0,126.0,81.0
59,106.0,112.0,77.0
60,111.0,377.0,307.0
61,129.0,105.0,48.0
62,25.0,50.0,46.0

