,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7
63,0,0,0,0,0,0,33,26,27,37,32,16,22,29,37,33,25,37,27,26,31,40,29,19,33,28,25,25,35,52,26,41,24,35,18,25,43,25,38,27,41,23,28,27,38,27,23,36,23,35,37,28,27,13,0
64,0,1,1,0,1,22,69,66,47,44,55,34,47,51,76,42,54,50,57,55,47,58,64,40,51,34,64,51,60,54,51,49,55,69,56,46,62,40,58,53,64,56,54,62,55,58,47,58,42,54,41,59,45,5,0
65,0,0,0,0,0,4,19,21,17,25,23,12,19,12,13,13,25,23,19,20,17,21,32,21,18,6,33,32,32,23,19,35,26,35,22,15,20,13,31,29,26,26,22,24,21,30,15,28,18,22,24,14,28,9,0
66,0,0,0,0,0,7,52,46,55,36,57,43,42,56,53,25,44,61,33,59,45,44,42,26,54,36,55,34,46,54,41,42,40,60,30,32,51,41,49,50,41,51,56,33,44,35,20,33,31,38,50,28,48,23,0
67,0,0,0,0,1,6,24,28,27,21,31,11,25,34,24,33,31,41,30,28,37,22,27,12,40,13,44,30,41,23,26,37,41,25,28,21,25,25,40,32,38,30,30,22,21,31,20,32,21,38,29,23,27,6,0
68,0,0,0,0,0,14,61,62,62,51,63,65,51,57,65,63,54,70,67,78,64,68,41,54,65,37,58,71,56,61,69,63,45,58,50,53,44,35,55,55,55,36,71,70,63,68,49,66,41,65,59,36,54,29,0
69,0,0,0,0,0,12,27,40,45,21,26,21,27,37,47,41,34,38,40,38,36,29,46,20,48,40,44,37,59,56,41,36,45,42,44,14,57,32,47,34,44,41,44,45,31,35,34,32,44,27,42,21,31,28,0
70,0,0,1,0,11,9,33,37,23,23,26,10,14,26,34,23,16,23,24,28,31,30,22,10,23,22,20,30,27,16,19,30,21,24,25,26,29,21,24,13,26,23,31,29,21,26,26,30,13,24,18,10,22,15,0
71,0,1,0,0,0,8,23,38,28,21,34,16,20,34,41,35,28,41,36,24,30,35,26,31,34,19,34,31,38,28,34,31,22,24,22,23,34,20,34,25,30,33,37,38,37,43,31,27,22,38,35,17,47,9,0
72,2,0,2,0,0,4,23,27,34,42,43,25,22,35,28,27,34,32,35,38,29,36,32,34,31,16,27,40,52,34,47,34,57,34,33,28,35,34,34,36,41,49,50,54,34,50,36,54,22,40,41,29,41,3,0
73,0,0,0,0,0,6,17,18,23,23,18,14,15,23,19,17,15,15,16,16,16,21,17,21,22,11,22,12,16,18,16,20,22,16,20,18,22,15,20,12,21,24,37,22,20,27,19,11,20,25,32,21,24,27,0
74,0,0,0,0,0,10,18,30,18,24,23,23,14,30,15,25,15,18,20,22,5,9,16,2,32,18,29,25,17,24,28,32,24,26,26,30,17,12,29,20,31,23,38,23,20,25,19,24,20,20,27,21,21,13,0
75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,2,2,0,0,0,19,18,25,13,12,18,10,1,0,0,0,1,16,10,17,18,17,8,15,12,10,13,20,8,11,11,13,10,12,4,0
76,0,0,0,0,0,1,24,23,16,17,22,23,10,15,19,23,24,15,22,18,8,10,18,15,19,9,15,12,16,17,11,15,20,23,19,15,22,11,17,19,24,14,14,18,17,11,16,16,24,15,8,8,19,3,0
77,2,2,1,0,0,0,4,3,7,7,8,7,11,19,15,7,7,10,11,5,8,12,11,2,14,4,8,17,8,6,10,11,5,14,7,8,8,13,13,11,10,12,10,9,8,8,8,12,2,10,11,9,6,8,0
78,0,1,0,0,1,1,8,13,13,9,11,6,6,11,11,16,12,18,16,9,14,13,11,14,12,6,9,7,8,15,6,11,11,3,0,1,8,4,5,11,6,3,14,10,9,19,10,15,7,17,14,10,9,1,0
79,1,0,1,0,0,2,9,9,12,12,15,8,12,16,9,10,14,9,4,13,13,17,9,8,4,9,7,12,7,6,10,7,13,18,19,12,11,8,10,13,14,8,9,8,7,16,16,6,14,10,6,4,15,7,0
80,1,2,1,0,0,0,1,4,6,5,12,14,4,1,0,2,0,0,1,0,0,0,1,0,1,0,3,80,1,27,63,31,0,0,1,2,7,4,10,9,12,12,13,11,13,12,16,7,7,13,12,4,12,1,0
81,0,0,0,0,2,3,22,14,15,9,14,0,26,15,12,26,28,14,14,10,16,13,12,7,21,5,21,20,18,17,17,12,12,18,12,7,22,10,10,20,18,8,11,15,8,15,15,6,15,4,12,7,8,12,0
82,0,0,0,0,1,1,10,6,9,11,14,3,17,5,19,26,13,13,26,16,9,21,9,12,27,16,26,23,14,16,9,17,33,39,31,15,16,7,19,30,23,7,27,12,13,27,20,12,13,15,12,11,13,10,0
83,0,0,0,0,7,11,19,26,28,25,18,18,15,11,17,19,21,30,23,18,17,17,21,10,15,9,21,11,31,13,26,23,17,33,21,11,16,7,18,20,18,14,21,22,9,11,12,11,25,5,25,14,24,13,0
84,11,3,0,0,0,8,26,36,19,20,18,32,22,14,31,23,22,22,28,35,27,29,71,45,21,16,28,38,26,33,18,34,29,20,30,18,20,10,21,24,34,25,22,34,24,21,14,24,15,17,23,18,19,16,0
85,0,0,0,0,1,0,18,52,43,34,29,24,36,14,20,30,28,34,20,39,34,32,23,24,28,22,25,40,51,32,24,48,32,35,33,13,32,11,22,38,36,32,45,54,45,47,38,36,28,15,39,30,34,13,0
86,0,0,0,0,0,0,8,10,9,7,11,6,16,6,8,8,11,4,3,12,6,13,7,7,10,5,12,6,11,7,6,9,7,13,6,3,17,6,0,17,10,4,7,5,5,4,3,3,7,8,14,7,16,3,0
87,0,0,1,0,4,9,14,16,22,13,15,17,13,14,19,18,24,49,24,23,19,19,45,22,17,14,23,16,19,9,51,33,64,31,11,17,25,4,19,17,40,20,42,18,28,19,21,32,24,5,11,10,16,12,0
88,0,0,0,0,5,7,16,15,20,19,18,11,13,7,24,18,20,15,15,15,15,12,15,9,18,10,16,17,22,12,13,31,32,56,25,10,14,5,16,8,18,9,16,17,15,17,14,7,10,4,15,15,13,12,0
89,0,0,0,0,0,2,25,6,15,22,10,5,22,15,6,18,12,5,27,12,9,14,13,10,10,9,15,26,15,10,10,14,7,14,22,8,17,7,21,18,14,14,16,11,15,21,6,14,12,11,20,13,9,10,0
90,0,0,0,0,2,7,17,13,19,17,9,8,17,13,10,7,15,8,11,17,24,28,18,19,13,6,9,12,17,12,13,20,10,10,11,8,17,9,11,9,17,12,12,18,7,11,4,4,16,5,18,8,7,5,0
91,0,0,0,0,0,0,2,0,0,2,1,2,2,2,3,0,0,0,1,2,0,0,4,0,1,2,1,2,2,2,1,2,3,0,1,2,0,1,1,1,4,2,1,6,0,0,1,1,0,1,2,0,2,0,0
92,0,0,0,0,0,0,0,2,0,1,1,1,0,0,1,0,4,1,2,4,2,1,3,2,1,0,2,2,0,0,1,1,1,1,2,2,1,1,1,1,2,1,0,0,2,0,0,1,0,1,0,0,2,1,0
93,0,0,0,0,0,0,1,3,1,0,2,3,0,3,1,1,2,1,3,3,1,2,0,0,1,1,1,2,4,2,2,1,0,2,4,2,4,1,2,4,1,1,2,0,1,1,1,3,2,0,7,2,2,3,0
94,0,0,0,2,0,0,8,3,3,2,5,0,2,0,3,1,3,6,3,4,3,7,4,1,2,0,2,1,5,11,7,5,4,1,5,1,0,2,0,5,2,2,1,3,7,1,2,4,0,4,5,2,3,2,0
95,1,1,0,4,1,2,4,0,4,2,3,3,1,1,2,5,1,2,2,3,0,2,3,3,3,1,5,3,5,5,3,1,3,2,1,1,1,1,1,0,1,3,1,1,1,1,3,1,1,4,4,1,2,1,0
